id,theme,sub,file,source_url,source_page,licence,fichier,statut
7-2-042,animaux,europe,7-2-042_harfang-des-neiges.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/Bubo_scandiacus_Delta_3.jpg/1280px-Bubo_scandiacus_Delta_3.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Harfang des neiges,,images/cartes-500/7-2-042.webp,ok
7-2-047,animaux,europe,7-2-047_tortue-d-hermann.md,https://upload.wikimedia.org/wikipedia/commons/6/6c/Testudo_hermanni_hermanni_Mallorca_02.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Tortue d'Hermann,,images/cartes-500/7-2-047.webp,ok
7-2-057,animaux,europe,7-2-057_thon-rouge.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3d/Trancio_tonno.jpg/1280px-Trancio_tonno.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Thon rouge,,images/cartes-500/7-2-057.webp,ok
7-2-058,animaux,europe,7-2-058_sardine.md,https://upload.wikimedia.org/wikipedia/commons/6/6a/Sardina_pilchardus_2011.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Sardine,,images/cartes-500/7-2-058.webp,ok
7-2-060,animaux,europe,7-2-060_maquereau.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c3/Scomber_scombrus.jpg/1280px-Scomber_scombrus.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Maquereau,,images/cartes-500/7-2-060.webp,ok
7-2-061,animaux,europe,7-2-061_cabillaud.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3c/Morue.jpg/1280px-Morue.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Morue,,images/cartes-500/7-2-061.webp,ok
7-2-062,animaux,europe,7-2-062_hareng.md,https://upload.wikimedia.org/wikipedia/commons/4/4d/Heringsschwarm.gif?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Hareng,,images/cartes-500/7-2-062.webp,ok
7-2-066,animaux,europe,7-2-066_homard-europeen.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0b/KreeftbijDenOsse.jpg/1280px-KreeftbijDenOsse.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Homard européen,,images/cartes-500/7-2-066.webp,ok
7-2-067,animaux,europe,7-2-067_poulpe-commun.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9f/Octopus_vulgaris_2.jpg/1280px-Octopus_vulgaris_2.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Pieuvre commune,,images/cartes-500/7-2-067.webp,ok
7-2-069,animaux,europe,7-2-069_meduse-commune.md,https://upload.wikimedia.org/wikipedia/commons/7/75/Moon_jelly_-_adult_%28rev2%29.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Aurelia aurita,,images/cartes-500/7-2-069.webp,ok
7-2-071,animaux,europe,7-2-071_vache-normande.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/Vachesnormandes.jpg/1280px-Vachesnormandes.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Normande,,images/cartes-500/7-2-071.webp,ok
7-2-072,animaux,europe,7-2-072_vache-montbeliarde.md,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/Montbeliarde.jpg/1280px-Montbeliarde.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Montbéliarde,,images/cartes-500/7-2-072.webp,ok
7-2-073,animaux,europe,7-2-073_mouton-merinos.md,https://upload.wikimedia.org/wikipedia/commons/3/3f/Champion_Merino_ram_%281905%29.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,Mérinos,,images/cartes-500/7-2-073.webp,ok
